World,Depth,WMDP,Algorithm,Algorithm Name,Expanded States
2,1,WorldMDP,alpha_beta,North,4
2,1,BetterValueFunction,alpha_beta,Stay,4
2,2,WorldMDP,alpha_beta,North,13
2,2,BetterValueFunction,alpha_beta,Stay,10
2,3,WorldMDP,alpha_beta,Stay,30
2,3,BetterValueFunction,alpha_beta,Stay,28
2,4,WorldMDP,alpha_beta,Stay,63
2,4,BetterValueFunction,alpha_beta,Stay,52
2,5,WorldMDP,alpha_beta,North,208
2,5,BetterValueFunction,alpha_beta,North,200
2,6,WorldMDP,alpha_beta,North,422
2,6,BetterValueFunction,alpha_beta,North,383
2,7,WorldMDP,alpha_beta,East,1099
2,7,BetterValueFunction,alpha_beta,East,1065
2,8,WorldMDP,alpha_beta,East,2154
2,8,BetterValueFunction,alpha_beta,East,2020
2,9,WorldMDP,alpha_beta,Stay,4624
2,9,BetterValueFunction,alpha_beta,East,5343
2,10,WorldMDP,alpha_beta,Stay,8731
2,10,BetterValueFunction,alpha_beta,East,9940
